Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Subtitle,Date,Time,Show map,Address,Link to the map,Map screenshot,Form title,Description
Приглашаем вас на наш закрытый вечер для партнеров,1,66276af4840fd6a2ea67b4da,65ac805b2ac454468c44bf35,6627742446063726a4068ec7,false,false,Tue Apr 23 2024 08:41:08 GMT+0000 (Coordinated Universal Time),Mon Mar 17 2025 13:42:22 GMT+0000 (Coordinated Universal Time),Mon Mar 17 2025 13:42:22 GMT+0000 (Coordinated Universal Time),"Полезные знакомства, актуальные тренды и, конечно, приятное общение. Это отличный шанс узнать что-то новое, пообщаться с экспертами и просто провести время с пользой",17 апреля,с 17:00 до 22:00,true,"улица Воздвиженка, 4/7с2, Москва",https://yandex.ru/maps/213/moscow/?ll=37.611500%2C55.752545&mode=routes&rtext=~55.752930%2C37.609670&rtt=mt&ruri=~ymapsbm1%3A%2F%2Fgeo%3Fdata%3DIgoNTXAWQhUAA19C&z=17.79,https://cdn.prod.website-files.com/65ac805b2ac454468c44bf36/67d7eef6eb9293afaf6c20bb_screen.webp,Забронируйте себе место,"<h3 id="""">Что вас ждет:</h3><ul id=""""><li id="""">Поговорим о переспективах рынка недвижимости;</li><li id="""">QA сессия с топовым спикером;</li><li id="""">Возможность задать вопросы и обсудить ваши идеи;</li><li id="""">Неформальная атмосфера и новые знакомства.</li></ul>"
Следующая остановка: выход из кризиса. Куда направляется рынок недвижимости?,2,66276af4840fd6a2ea67b4da,65ac805b2ac454468c44bf35,67dbcdba8b961bdee80eb326,false,false,Thu Mar 20 2025 08:11:38 GMT+0000 (Coordinated Universal Time),Thu Mar 20 2025 08:14:28 GMT+0000 (Coordinated Universal Time),Thu Mar 20 2025 08:14:28 GMT+0000 (Coordinated Universal Time),Закрытый ужин для партнеров ДВИЖа,17 апреля ,с 17:00 до 22:00,false,,,,Забронируйте себе место,"<h3 id="""">Что вас ждет</h3><ul id=""""><li id="""">QA-сессия с секретным гостем, экспертом по аналитике и руководителем одного топового девелопера</li><li id="""">Возможность обсудить проблемы с лидерами рынка</li><li id="""">Неформальная атмосфера и развлекательная программа</li></ul><p id="""">‍</p><p id="""">Для нас важно сохранить камерную атмосферу, поэтому вход на закрытый ужин только по предварительной регистрации.</p>"
